Manner of Death,Count,Year-Month
Heat Related,0,2022-12-01
Heat Related,0,2023-01-01
Heat Related,0,2023-02-01
Heat Related,0,2023-03-01
Heat Related,0,2023-04-01
Heat Related,1,2023-05-01
Heat Related,0,2023-06-01
Heat Related,0,2023-07-01
Heat Related,1,2023-08-01
Heat Related,0,2023-09-01
Heat Related,0,2023-10-01
Heat Related,0,2023-11-01
Heat Related,0,2023-12-01
Heat Related,0,2024-01-01
Heat Related,0,2024-02-01
Heat Related,0,2024-03-01
Heat Related,1,2024-04-01
Heat Related,0,2024-05-01
Heat Related,0,2024-06-01
Heat Related,1,2024-07-01
Heat Related,0,2024-08-01
Heat Related,0,2024-09-01
Heat Related,0,2024-10-01
Heat Related,0,2024-11-01
Heat Related,0,2024-12-01
